column1,id,actual_price,average_rating,brand,category,discount,out_of_stock,seller,selling_price,sub_category
3429,802e986d-eb74-5c76-abcb-fe0df88b39ba,1699,4.300000191,Zack Fo,Clothing and Accessories,69,FALSE,KrishnamEnterprisaes,511,Topwear
5964,80307730-1cb7-5cd0-9532-ade13a9dd5d9,1999,4.099999905,M7 By Metrona,Clothing and Accessories,60,FALSE,RetailNet,782,Winter Wear
28897,8035599c-8f6a-596e-8e46-7f688607fedd,599,3.900000095,Keo,Clothing and Accessories,44,FALSE,Keoti,331,Topwear
17207,8039de19-6261-5521-be07-1da74f01faf5,2399,2.400000095,CANTAB,Clothing and Accessories,50,FALSE,CANTABIL RETAIL,1199,Topwear
16076,8039e908-73df-572e-9c92-ab1e03dca07e,1500,2.5,TEE BUD,Clothing and Accessories,71,FALSE,T-SHIRT EXPRESS,430,Topwear
3505,803e9a5e-82c6-54a0-9d45-b96d936708af,1499,4,Zack Fo,Clothing and Accessories,65,FALSE,KrishnamEnterprisaes,519,Bottomwear
22638,804572f8-95b1-5e6b-9203-7cd270f51a9a,599,4.199999809,ARBO,Clothing and Accessories,39,FALSE,ARBOR,360,Topwear
23997,8045812c-f089-5ea7-82d9-b075c8f19e84,2599,3.599999905,Purple Sta,Clothing and Accessories,75,FALSE,Purplestate,647, Kurtas Ethnic Sets and Bottoms
2450,80488963-e258-54a4-af81-6c43ea3918c6,3699,3.900000095,REEB,Clothing and Accessories,51,FALSE,Tayab Manch Fashions,1801,Winter Wear
19654,8048eea1-6c5b-5365-bec8-a9ee2f4db324,1299,4.5,PixF,Clothing and Accessories,76,FALSE,PixFab,299,Topwear
18847,804d38d2-2c7d-5dec-808c-8adee12e23fa,349,4.699999809,Cots,Clothing and Accessories,28,FALSE,EVINCEMARKETERS,249,Clothing Accessories
23111,804d515b-0d73-59ff-8830-735a549f6b59,760,4.199999809,ARBO,Clothing and Accessories,43,FALSE,ARBOR,433,Topwear
18408,805201a1-3557-563c-b919-57e70165a826,1099,3.700000048,Mountain colou,Clothing and Accessories,53,FALSE,MountainColours,509,Bottomwear
25183,80547c9c-5196-5093-96fa-c99a8dd7cc20,1499,3.900000095,Free Authori,Clothing and Accessories,45,FALSE,BioworldMerchandising,824,Winter Wear
881,805c0a5b-4208-566e-be09-a53728b19ba6,1599,3,Jagdish Garmen,Clothing and Accessories,64,FALSE,JAGDISHGARMENTS(Not Enough Ratin,566, Kurtas Ethnic Sets and Bottoms
20777,805d2906-5c9a-5539-abbc-f54ac8ca478e,1299,3.700000048,Sharar,Clothing and Accessories,38,FALSE,Shararat,799,Innerwear and Swimwear
24811,80625617-19fc-546d-a0ec-8494dfb36957,999,2.299999952,Sketch Vib,Clothing and Accessories,46,FALSE,SketchVibes,539,Topwear
1163,806410ef-6232-51ce-8301-d68c1d2cff79,1799,3.799999952,Solid Styl,Clothing and Accessories,72,FALSE,SKDLifestyles,499,Topwear
22710,8065325f-599f-5ee9-ab9c-69bfd59f6039,830,4.199999809,ARBO,Clothing and Accessories,43,FALSE,ARBOR,473,Topwear
